short_code,week_number,step_number,material_type,estimated_time,week_start_date,week_end_date
research-project-5,1,1,video,3,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,2,article,3,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,3,discussion,5,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,4,video,4,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,5,video,3,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,6,video,3,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,7,discussion,5,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,8,article,5,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,9,article,3,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,1,10,discussion,5,07-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,1,video,4,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,2,discussion,5,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,3,video,1,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,4,article,3,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,5,video,4,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,6,article,6,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,7,assignment,25,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,8,review,10,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,9,reflection,5,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,10,discussion,5,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,11,article,3,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,2,12,discussion,5,14-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,1,video,4,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,2,article,6,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,3,article,3,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,4,article,3,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,5,article,5,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,6,article,3,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,7,article,3,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,8,article,5,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,9,video,3,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,10,video,9,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,11,article,2,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,3,12,discussion,5,21-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,1,video,3,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,2,article,3,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,3,video,3,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,4,discussion,5,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,5,article,3,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,6,article,1,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,4,7,discussion,5,28-03-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,1,video,5,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,2,article,6,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,3,article,11,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,4,article,11,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,5,discussion,5,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,6,article,2,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,5,7,discussion,5,04-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,1,video,8,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,2,article,10,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,3,article,20,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,4,article,2,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,5,quiz,8,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,6,discussion,5,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,7,article,2,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,6,8,discussion,5,11-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,1,video,10,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,2,video,5,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,3,video,2,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,4,discussion,5,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,5,article,3,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,6,assignment,25,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,7,review,10,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,8,reflection,5,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,9,article,3,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,10,article,2,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,7,11,discussion,5,18-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,1,video,6,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,2,video,2,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,3,video,6,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,4,discussion,5,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,5,article,5,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,6,test,20,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,7,article,3,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,8,article,2,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,9,discussion,5,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,10,video,1,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,11,article,2,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,12,article,5,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
research-project-5,8,13,article,5,25-04-2016 00:00:00 UTC,01-05-2016 00:00:00 UTC
